country_name	Net Electricity Production_Electricity_GWh_2012	Net Electricity Production_Electricity_GWh_2013	Net Electricity Production_Electricity_GWh_2014	Net Electricity Production_Electricity_GWh_2015	Net Electricity Production_Electricity_GWh_2016	Net Electricity Production_Electricity_GWh_2017	Net Electricity Production_Electricity_GWh_2018	Net Electricity Production_Electricity_GWh_2019	Net Electricity Production_Electricity_GWh_2020	Net Electricity Production_Electricity_GWh_2021	Net Electricity Production_Electricity_GWh_2022	WS_HCF_W-B_2012	WS_HCF_W-B_2013	WS_HCF_W-B_2014	WS_HCF_W-B_2015	WS_HCF_W-B_2016	WS_HCF_W-B_2017	WS_HCF_W-B_2018	WS_HCF_W-B_2019	WS_HCF_W-B_2020	WS_HCF_W-B_2021	WS_PPL_W-SM_2012	WS_PPL_W-SM_2013	WS_PPL_W-SM_2014	WS_PPL_W-SM_2015	WS_PPL_W-SM_2016	WS_PPL_W-SM_2017	WS_PPL_W-SM_2018	WS_PPL_W-SM_2019	WS_PPL_W-SM_2020	WS_PPL_W-SM_2021	WS_PPL_W-SM_2022	delta_Net Electricity Production_Electricity_GWh_2013	delta_Net Electricity Production_Electricity_GWh_2014	delta_Net Electricity Production_Electricity_GWh_2015	delta_Net Electricity Production_Electricity_GWh_2016	delta_Net Electricity Production_Electricity_GWh_2017	delta_Net Electricity Production_Electricity_GWh_2018	delta_Net Electricity Production_Electricity_GWh_2019	delta_Net Electricity Production_Electricity_GWh_2020	delta_Net Electricity Production_Electricity_GWh_2021	delta_Net Electricity Production_Electricity_GWh_2022	delta_WS_PPL_W-SM_2013	delta_WS_PPL_W-SM_2014	delta_WS_PPL_W-SM_2015	delta_WS_PPL_W-SM_2016	delta_WS_PPL_W-SM_2017	delta_WS_PPL_W-SM_2018	delta_WS_PPL_W-SM_2019	delta_WS_PPL_W-SM_2020	delta_WS_PPL_W-SM_2021	delta_WS_PPL_W-SM_2022
Costa Rica	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1042.0	1042.804475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.51168811121977	80.50757848783849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.07720489443377267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005104381087631909
Croatia	NaN	NaN	NaN	NaN	NaN	NaN	1098.4666666666667	1020.8416666666667	1072.9250083333334	1227.3499916666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.066668689688657	5.101999983673604	14.392896254064851	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Cyprus	NaN	NaN	NaN	359.45966666666664	388.9698333333333	398.18991666666665	402.27341666666666	409.4823333333333	387.526425	406.73675000000003	417.9414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.9628141538222	99.2223052535276	99.48174563326832	99.741113800891	99.76519236317922	99.7651721581168	99.76513247681558	99.76506273522055	NaN	NaN	NaN	8.209590505749842	2.3703851926820345	1.0255156720651972	1.7920440098680774	-5.361869498643401	4.957165179122949	2.7547670575624057	NaN	NaN	NaN	0.2622107120984472	0.2614738481209598	0.26071935707564153	0.024141060161300458	-2.0252617118375836e-05	-3.977470329470488e-05	-6.99057810034452e-05
Denmark	2433.3656666666666	2761.51025	2567.9374166666666	2326.7618333333335	2423.422416666667	2469.858333333333	2442.9570833333332	2390.3096666666665	2322.970908333333	2659.3585749999997	2873.4250333333334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.593687158432	97.99059382393854	98.3875001402106	98.7844096414334	99.18130904391045	99.57821741888152	99.91883113297718	99.91883034791046	99.91882405988642	99.9188271844994	99.91882919248324	13.48521464851768	-7.009672817015007	-9.39180144220155	4.15429641094193	1.9161296993586998	-1.0891819031455876	-2.155069240710158	-2.8171562568810815	14.480924640938152	8.04955226217787	0.40669297068590404	0.4050453219879396	0.4034145604443287	0.40178344327582455	0.4001846505124805	0.3420564486134973	-7.857044648247651e-07	-6.293132152709896e-06	3.1271514825183845e-06	2.0096150990272025e-06
Estonia	877.25	985.25	917.7500833333334	755.1666666666666	869.4730916666667	937.3743416666666	911.0668333333333	550.008325	443.06534166666665	538.4079166666667	614.3975916666667	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.88739995023148	96.28194228480432	96.67541958256668	96.84609674512149	96.87794315308588	96.91004805869754	96.9427504837686	96.97601045221823	96.99838838396984	97.00866426414586	97.01938262043194	12.311199772014819	-6.851044574135158	-17.71543469395854	15.136582432134201	7.809471121163972	-2.806510394402107	-39.63029880171615	-19.443884478172826	21.518851969181902	14.113773710917766	0.41146421195862287	0.40867195698903136	0.17654659611695955	0.03288352244923981	0.03313954091792466	0.03374513347806562	0.03430887640762382	0.023075739708463446	0.010593866915960799	0.011048864931169189
Finland	5642.229166666667	5696.120916666667	5454.812833333333	5512.793666666667	5515.93265	5420.264991666667	5627.749650000001	5504.36755	5549.870141666666	5776.783366666667	5851.2268583333325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.57515442672884	98.97222084816713	99.36929047008049	99.63062604547734	99.63187157870033	99.63312865739778	99.63454782820008	99.63615198214396	99.63792535712892	99.63990230782213	99.64202706177994	0.9551499665838299	-4.236358161345797	1.0629298402142056	0.05693997495883718	-1.7343877165239288	3.8279430738594704	-2.192387857906947	0.8266633950828081	4.088622241742336	1.2886668400311079	0.4028057817889828	0.40119299992520413	0.2629943055450747	0.0012501509550048222	0.0012617234601041366	0.001424396504889156	0.0016100378622073814	0.0017798509373202253	0.0019841347419861538	0.002132432799112376
France	45667.7365	46480.90825	45708.830500000004	46260.56541666667	45034.98	44820.792675	46485.96399166667	45589.938733333336	42489.22891666667	44374.75924166667	37680.7005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.46149055191532	98.58955410028392	98.7184468243982	98.84819803235747	98.97879003171852	99.11024776233472	99.24255690112908	99.37573798147258	99.50978126202163	99.64470643671896	99.70414541239874	1.7806263509469127	-1.6610642499654615	1.2070641725709172	-2.6493092024013976	-0.47560213194278367	3.715175964738054	-1.9275178600017016	-6.801302881329753	4.437666611220588	-15.085284643935898	0.13006460459897037	0.13073669446072575	0.13143562539033546	0.1321136874121831	0.13281404084054613	0.13349693072267438	0.13419755042807602	0.13488531836014295	0.13558986160571962	0.05965091152888299
Germany	49285.916666666664	50077.1665	49239.500166666665	50857.666666666664	51194.333341666665	51587.750008333336	50470.916666666664	47988.666658333335	45638.500024999994	46540.666658333335	46040.100158333335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.88771537127371	99.89072998274122	99.89375300934152	99.8967748879838	99.89984052684068	99.90294679018466	99.90611557839088	99.90934445947728	99.9126502107578	99.91604275367646	99.91641190209806	1.6054278521078573	-1.6727510597735886	3.286317884062192	0.6619782169846574	0.7684769797489927	-2.1649196591947932	-4.918178967755349	-4.897336802595306	1.9767666177441194	-1.0755464756763897	0.003018000217845823	0.003026333475413962	0.003025092712243601	0.0030688066359690312	0.003109377680283336	0.00317186660457515	0.0032319153514348835	0.0033087508464858945	0.0033955088885188004	0.00036945860887205675
Greece	4471.166666666667	4380.000083333333	3891.8333333333335	3983.8334166666664	4185.55875	4215.767833333333	4173.63785	3796.4166583333335	3777.8952583333335	4421.329841666667	4118.863708333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.29644550286302	99.26519667196264	99.23347101129733	99.184433819502	99.133636394478	99.08283227975198	99.0320361272461	98.9812373437398	98.93044158600074	98.87963707351123	98.87964128609896	-2.038988705408736	-11.145359376990877	2.363926598432604	5.063598605539094	0.7217455335762085	-0.999343061546675	-9.038186954018219	-0.4878653126585735	17.031562267747795	-6.8410669225102545	-0.03147024119758658	-0.03196050753836555	-0.049415979604037534	-0.05121511820740274	-0.05124810969695247	-0.05126635092794192	-0.05129530351271742	-0.051318572188246765	-0.05135377106887935	4.260318757671585e-06
Hungary	2695.909	2335.885083333333	2261.7500833333334	2345.836083333333	2462.3340166666667	2560.6666666666665	2490.916675	2678.083341666667	2742.833325	2845.6666583333335	2810.9806166666663	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.07817829277876	88.59905443323021	90.11402468233554	91.62311446097954	93.12667260085446	94.6244414524352	96.14338385285218	97.629550657545	99.10948170930392	99.9999988534441	100.0	-13.35445360606263	-3.173743457199886	3.7177405505419543	4.966158298997385	3.9934732385785585	-2.723899700598799	7.5139673898030725	2.4177732756082535	3.7491645006658754	-1.2189074066384993	1.7465640304714238	1.7099169497875848	1.6746447447705815	1.6410249190069406	1.6083135043386079	1.605232619714327	1.5457816701848133	1.5158638360941314	0.8985186167678029	1.1465559158105633e-06
Iceland	1441.33325	1500.0	1483.5835833333333	1546.4999166666666	1514.3006666666668	1570.524583333333	1619.3748249999999	1593.3160916666666	1564.891175	1602.2456666666667	1643.703425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.5779714701861	97.11316958356316	97.64836847966798	98.1835638232079	98.71876069033064	99.25395617040746	99.78915719909529	99.99999846047686	100.0	100.0	100.0	4.070311289911622	-1.0944277777777793	4.240835099561575	-2.0820725337898702	3.712863495624582	3.110441070778109	-1.6091847873041558	-1.7840098907764816	2.387034463701076	2.587478262280622	0.5541616843156421	0.5511084628375689	0.5480842658946851	0.5450982285450812	0.5421416115176618	0.5392238751359643	0.21128674427113606	1.539523163782971e-06	0.0	0.0
India	NaN	NaN	NaN	100281.79744166667	112134.75046666666	117859.03518333333	126795.09331666667	129800.63927500001	119254.51881666666	130004.51636666666	139001.71198333334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.819645566180432	5.104826731092848	7.581988194144834	2.370396108962268	-8.124860183461793	9.014331412066888	6.9206792718576455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Ireland	2206.588583333333	2093.0170833333336	2109.385583333333	2302.1093333333333	2474.2949166666667	2507.7891583333335	2529.8010833333333	2523.0079083333335	2626.56635	2584.9949	2779.2398166666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.02115731371572	95.11063738349296	95.19962514850822	95.28813235052756	95.37613767692288	95.46347294553128	95.55008231128714	95.70191911201135	95.85353667900984	95.99583146777294	95.99140503980652	-5.146926838007806	0.7820528618873551	9.136487492981276	7.479470277113977	1.3536883352526832	0.877742250653513	-0.26852605308591787	4.104562705674432	-1.5827298632680615	7.514324947668814	0.09416857498569145	0.09356236848298702	0.09297011609160762	0.09235706926396844	0.09156930730854136	0.09072513610025379	0.15890807946093785	0.15842688255919482	0.1484502228015021	-0.004611062687558373
Italy	23983.615333333335	23236.11608333333	22428.994583333333	22702.368416666664	23308.55183333333	23772.1375	23320.384916666666	23662.504666666664	22637.332416666668	23337.100749999998	23177.17805833333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.97284863296588	94.74056782844532	94.50815485523694	94.25135524159886	93.99455562796076	93.73775601432268	93.4809564006846	93.22415678704652	92.96735717340844	92.71055755977036	92.71055755977036	-3.116707967547752	-3.473564588442235	1.218841229452485	2.6701329374147793	1.9889080625064843	-1.9003448189433312	1.4670416085434812	-4.332475637898783	3.0912137545770517	-0.6852723197274909	-0.2445760107904456	-0.2453151575249506	-0.2717221746963881	-0.27246251576948444	-0.27320690216837323	-0.2739553671402611	-0.27470794429762513	-0.27546466762331945	-0.27622557147567556	0.0
Japan	89773.16558333334	88135.03008333333	87464.636	85917.41866666666	85797.88091666666	85043.60948333333	86528.38306666668	83458.08231666667	80522.223775	82559.85009166667	83704.92074166668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.23246068074933	98.27977289512576	98.32709287591484	98.37442062311663	98.42175613673116	98.4690994167584	98.51645046319832	98.56380927605096	98.6111758553163	98.65855020099436	98.65855020099436	-1.8247496224017847	-0.7606443007955661	-1.7689633251698824	-0.13913098397866572	-0.8791259472549594	1.74589671387869	-3.5483163341148587	-3.5177641999094518	2.5305142122755053	1.3869582475363393	0.048163523593484255	0.04814823986170452	0.048132967036376324	0.04811770510534937	0.048102454056462705	0.048087213877645786	0.048071984556860556	0.04805676608204369	0.04804155844116432	0.0
